FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,age
Kyle Bochniak,170.18,145 lbs.,70,Orthodox,1987-02-05,1510.0
James Bochnovic,193.04,205 lbs.,81,Orthodox,1989-02-13,1481.0
Jeremy Boczulak,,--,,,,
Tim Boetsch,182.88,185 lbs.,74,Orthodox,1981-01-28,1418.0
Galore Bofando,180.34,170 lbs.,72,Switch,1982-05-22,1834.0
Jay Bogan,,145 lbs.,,,,
Roman Bogatov,172.72,155 lbs.,73,Orthodox,1990-12-15,1543.0
Derek Bohi,193.04,260 lbs.,,,,
Jerry Bohlander,180.34,199 lbs.,,Orthodox,1974-02-12,
Mandy Bohm,170.18,125 lbs.,71,Orthodox,1989-07-30,1676.0
Kotetsu Boku,175.26,154 lbs.,,Orthodox,1977-05-27,
Gaston Bolanos,170.18,135 lbs.,69,Orthodox,1992-09-14,1595.0
Kyle Bolt,187.96,185 lbs.,,,,
Denys Bondar,167.64000000000001,125 lbs.,69,Orthodox,1992-06-27,1545.0
Luc Bondole,187.96,205 lbs.,,,,
Tony Bonello,187.96,185 lbs.,,,,
Gabriel Bonfim,185.42,170 lbs.,72,Orthodox,1997-08-20,1455.0
Ismael Bonfim,172.72,155 lbs.,71,Orthodox,1995-12-28,1412.0
Jesse Bongfeldt,182.88,185 lbs.,,Orthodox,1980-08-28,1580.0
Marcos Bonilla,177.8,145 lbs.,,,,
Stephan Bonnar,193.04,205 lbs.,79,Orthodox,1977-04-04,1461.0
Rogerio Bontorin,165.1,125 lbs.,67,Orthodox,1992-04-25,1397.0
Ray Borg,162.56,135 lbs.,63,Orthodox,1993-08-04,1080.0
Igor Borisov,182.88,235 lbs.,,Orthodox,,
Kevin Borjas,165.1,125 lbs.,68,Orthodox,1997-12-06,1353.0
Calen Born,172.72,170 lbs.,72,Switch,1988-05-24,
Caio Borralho,185.42,185 lbs.,75,Southpaw,1993-01-16,1553.0
Zachary Borrego,187.96,185 lbs.,78,Switch,1996-07-18,
Viacheslav Borshchev,180.34,155 lbs.,69,Orthodox,1992-01-08,1566.0
Tanner Boser,187.96,205 lbs.,75,Orthodox,1991-08-02,1472.0
Steve Bosse,180.34,205 lbs.,72,Orthodox,1981-07-29,1769.0
Marcus Bossett,185.42,215 lbs.,,Orthodox,,
Chris Bostick,,--,,,,
Poliana Botelho,172.72,125 lbs.,67,Orthodox,1988-12-15,1503.0
Francois Botha,187.96,260 lbs.,,Orthodox,1968-09-28,
Ilian Bouafia,195.57999999999998,185 lbs.,78,Southpaw,1996-11-13,
Gregory Bouchelaghem,187.96,183 lbs.,,Switch,,
Roy Boughton,182.88,205 lbs.,,,,
Rich Bouphanouvong,170.18,170 lbs.,,,,
Mike Bourke,182.88,275 lbs.,,Orthodox,,
Jess Bouscal,,155 lbs.,,,,
Tai Bowden,180.34,230 lbs.,,,,
Melton Bowen,182.88,225 lbs.,,Orthodox,1969-07-16,
Kyron Bowen,190.5,185 lbs.,73,Orthodox,1993-12-22,
Brian Bowles,170.18,135 lbs.,70,Orthodox,1980-06-22,1638.0
Roger Bowling,175.26,155 lbs.,68,Orthodox,1982-12-05,1584.0
Blake Bowman,187.96,170 lbs.,,,,
Ashe Bowman,175.26,155 lbs.,,,1976-11-17,
Anvar Boynazarov,175.26,145 lbs.,,Orthodox,1989-01-10,
ColleyBradford,170.18,145 lbs.,,,,
Kyle Bradley,175.26,155 lbs.,71,Orthodox,1982-08-19,1328.0
Paul Bradley,175.26,170 lbs.,,Orthodox,1983-06-13,1468.0
Sean Brady,177.8,170 lbs.,72,Orthodox,1992-11-23,1403.0
Ebenezer Fontes Braga,182.88,199 lbs.,,Orthodox,1969-04-14,
Ramiz Brahimaj,177.8,170 lbs.,72,Orthodox,1992-11-17,1459.0
Adam Bramhald,177.8,135 lbs.,70,Orthodox,1994-03-24,
Joe Brammer,172.72,155 lbs.,,Orthodox,1983-08-23,1371.0
David Branch,185.42,185 lbs.,78,Orthodox,1981-09-26,1501.0
Billy Brand,167.64000000000001,135 lbs.,65,Orthodox,1996-07-03,
Diego Brandao,170.18,145 lbs.,64,Orthodox,1987-05-27,1387.0
Bruna Brasil,167.64000000000001,115 lbs.,65,Orthodox,1993-09-07,1558.0
Michael Bravo,,155 lbs.,,,,
Martin Bravo,172.72,145 lbs.,71,Southpaw,1993-09-21,1293.0
Roman Bravo-Young,,205 lbs.,,,,
Mike Breeden,177.8,155 lbs.,70,Orthodox,1989-04-21,1693.0
Tom Breese,190.5,185 lbs.,73,Southpaw,1991-09-26,1235.0
Elves Brener,177.8,155 lbs.,72,Orthodox,1997-09-27,1324.0
Chris Brennan,172.72,170 lbs.,,Orthodox,1971-10-12,1578.0
Charlie Brenneman,177.8,155 lbs.,70,Orthodox,1981-02-09,1538.0
Robert Breslin,180.34,155 lbs.,,,,
Mack Brewer,,205 lbs.,,,,
Marcos Brigagao,190.5,205 lbs.,76,Southpaw,1996-04-01,
Jason Brilz,180.34,205 lbs.,71,Orthodox,1975-07-07,1784.0
Marcus Brimage,162.56,135 lbs.,71,Southpaw,1985-04-06,1433.0
Aaron Brink,190.5,205 lbs.,,Orthodox,1974-11-12,
Henry Briones,172.72,135 lbs.,69,Orthodox,1980-10-22,1811.0
Marcelo Brito,185.42,170 lbs.,,Orthodox,1977-11-27,
Joanderson Brito,172.72,145 lbs.,72,Orthodox,1995-02-11,1405.0
Kaik Brito,180.34,170 lbs.,72,Orthodox,1997-03-26,
Icaro Brito,,145 lbs.,,,1999-03-09,
Antwain Britt,185.42,205 lbs.,77,,1978-05-09,
Drew Brokenshire,,--,,,,
Mike Bronzoulis,182.88,155 lbs.,,,1979-01-05,
Jonathan Brookins,182.88,145 lbs.,74,Southpaw,1985-08-13,1426.0
Will Brooks,177.8,155 lbs.,72,Orthodox,1986-10-08,1552.0
Jarred Brooks,160.02,125 lbs.,62,Switch,1993-05-02,1264.0
Rob Broughton,187.96,265 lbs.,74,Orthodox,1983-03-03,1490.0
Lee Brousseau,185.42,205 lbs.,,,1974-10-04,
Matt Brown,182.88,170 lbs.,75,Orthodox,1981-01-10,1443.0
Mike Brown,167.64000000000001,145 lbs.,70,Orthodox,1975-09-08,1490.0
Dominic Brown,180.34,190 lbs.,,,1982-06-04,
Todd Brown,180.34,205 lbs.,,Orthodox,1976-12-13,1785.0
Terrell Brown,,185 lbs.,,,1983-04-13,
Chris Brown,,170 lbs.,,,,
Frederick Brown,182.88,235 lbs.,,,,
Randy Brown,190.5,170 lbs.,78,Orthodox,1990-07-08,1333.0
Damien Brown,177.8,155 lbs.,68,Orthodox,1984-12-25,1629.0
TJ Brown,175.26,145 lbs.,72,Switch,1990-05-22,1553.0
Humberto Brown Morrison,177.8,145 lbs.,,,1984-11-03,1567.0
Travis Browne,198.12,255 lbs.,79,Orthodox,1982-07-17,1457.0
Junie Browning,175.26,155 lbs.,,Orthodox,1984-05-12,1298.0
Jules Bruchez,182.88,205 lbs.,,Southpaw,1977-08-16,1634.0
Justin Bruckmann,175.26,170 lbs.,,Orthodox,,
Cody Brundage,182.88,185 lbs.,72,Orthodox,1994-05-16,1451.0
Steve Bruno,177.8,170 lbs.,,Orthodox,1981-11-03,1396.0
Fernando Bruno,167.64000000000001,145 lbs.,,,1982-02-24,1744.0
Derek Brunson,185.42,185 lbs.,77,Southpaw,1984-01-04,1512.0
Josh Bryant,177.8,185 lbs.,,Orthodox,1980-04-23,1573.0
Dennis Bryant,182.88,205 lbs.,,Orthodox,1985-10-18,
Robert Bryczek,182.88,185 lbs.,75,Orthodox,1990-07-04,1835.0
Lukasz Brzeski,190.5,236 lbs.,78,Orthodox,1992-05-17,1577.0
Marcus Buchecha,187.96,255 lbs.,77,Orthodox,1990-01-08,1854.0
Justin Buchholz,182.88,155 lbs.,73,Orthodox,1983-08-22,1274.0
Zak Bucia,177.8,170 lbs.,,,,
Courtney Buck,177.8,135 lbs.,,Orthodox,1982-03-19,
Joaquin Buckley,177.8,170 lbs.,76,Southpaw,1994-04-27,1371.0
Martin Buday,193.04,265 lbs.,77,Orthodox,1991-11-11,1587.0
Julia Budd,170.18,145 lbs.,67,,1983-07-04,
Dylan Budka,182.88,185 lbs.,75,Switch,2000-01-14,1286.0
Mike Budnik,175.26,145 lbs.,68,Orthodox,1974-08-08,
Francisco Bueno,175.26,225 lbs.,,Orthodox,,
Mayra Bueno Silva,167.64000000000001,135 lbs.,66,Orthodox,1991-08-22,1540.0
Paul Buentello,187.96,245 lbs.,77,Orthodox,1974-01-16,1655.0
Marek Bujlo,,265 lbs.,,,1993-10-10,
Modestas Bukauskas,190.5,205 lbs.,76,Switch,1994-02-10,1392.0
Lee Kwan Bum,187.96,286 lbs.,,Orthodox,,
Josh Bumgarner,185.42,170 lbs.,,,,
Shawn Bunch,165.1,135 lbs.,,,1983-03-19,
Felipe Bunes,170.18,125 lbs.,69,Orthodox,1989-10-29,1784.0
Shane Burgos,180.34,145 lbs.,75,Orthodox,1991-03-19,1342.0
Joshua Burkman,177.8,170 lbs.,72,Orthodox,1980-04-10,1356.0
Justin Burlinson,185.42,170 lbs.,74,Switch,1997-05-19,
Mads Burnell,172.72,145 lbs.,69,Orthodox,1994-03-06,1225.0
Mikey Burnett,167.64000000000001,170 lbs.,,Orthodox,1974-04-12,
Kevin Burns,177.8,170 lbs.,74,Orthodox,1980-03-03,1501.0
Gilbert Burns,177.8,170 lbs.,71,Orthodox,1986-07-20,1461.0
Josh Burns,185.42,244 lbs.,,,1978-05-15,
Herbert Burns,175.26,145 lbs.,73,Orthodox,1988-02-02,1687.0
Derrick Burnsed,,155 lbs.,,,,
Nah-Shon Burrell,180.34,170 lbs.,,Orthodox,1990-02-05,1215.0
Martin Buschkamp,175.26,145 lbs.,,Orthodox,1991-01-06,
George Bush,185.42,205 lbs.,,,,
Bubba Bush,182.88,185 lbs.,,Orthodox,1985-07-24,1510.0
Dakota Bush,177.8,155 lbs.,73,Orthodox,1994-06-09,1401.0
Murilo Bustamante,187.96,183 lbs.,,Orthodox,1966-07-30,1834.0
Nick Bustamante,175.26,170 lbs.,,,,
Eduardo Bustillos,172.72,135 lbs.,,,1987-06-02,
Jason Butcher,190.5,185 lbs.,,,1984-10-23,
Todd Butler,185.42,200 lbs.,,Southpaw,,
Goldman Butler,,--,,,,
Ian Butler,172.72,155 lbs.,,,,
Raphael Butler,190.5,261 lbs.,,,1984-01-04,
Jesse Butler,177.8,135 lbs.,73,Orthodox,1992-05-24,1618.0
JP Buys,165.1,135 lbs.,67,Orthodox,1996-04-30,1298.0
Dennis Buzukja,175.26,145 lbs.,70,Switch,1997-10-01,1348.0
Charles Byrd,177.8,185 lbs.,73,Orthodox,1983-10-11,1796.0
Steve Byrnes,182.88,170 lbs.,,Orthodox,,
Michael Byrnes,180.34,155 lbs.,,,1990-07-17,
Yan Cabral,180.34,155 lbs.,73,Orthodox,1983-05-13,1586.0
Juan Cabrera,,185 lbs.,,,2004-02-19,
Alvin Cacdac,167.64000000000001,125 lbs.,,Orthodox,,
Alex Caceres,177.8,145 lbs.,73,Southpaw,1988-06-20,1207.0
Vince Cachero,167.64000000000001,145 lbs.,68,Orthodox,1989-11-07,1603.0
Priscila Cachoeira,170.18,135 lbs.,65,Orthodox,1988-08-19,1537.0
Travis Calanoc,172.72,145 lbs.,,Orthodox,,
Ricky Calatayud,175.26,125 lbs.,,,1982-10-10,
Lucas Caldas,,155 lbs.,,Orthodox,1996-05-22,
Carlos Calderon,180.34,145 lbs.,71,Southpaw,1996-02-10,
Darrion Caldwell,177.8,135 lbs.,,,1987-12-19,
Nicolle Caliari,160.02,125 lbs.,62,Orthodox,1996-11-04,1470.0
Taylor Callens,177.8,155 lbs.,,,1991-05-21,
Cynthia Calvillo,162.56,115 lbs.,64,Orthodox,1987-07-13,1546.0
Joe Camacho,175.26,155 lbs.,,Orthodox,1972-03-10,
Frank Camacho,177.8,155 lbs.,73,Orthodox,1989-05-18,1465.0
Lucas Camacho,193.04,265 lbs.,80,Orthodox,1992-12-15,
Matheus Camilo,177.8,155 lbs.,69,Orthodox,2001-01-02,1271.0
Fabricio Camoes,177.8,155 lbs.,71,Orthodox,1978-12-23,1613.0
Chris Camozzi,187.96,185 lbs.,75,Orthodox,1986-11-20,1335.0
Brian Camozzi,187.96,170 lbs.,78,Orthodox,1991-06-24,1328.0
Ricky Camp,170.18,135 lbs.,,,,
Mike Campbell,175.26,155 lbs.,,Southpaw,,
Thomas Campbell,,--,,,,
Shane Campbell,182.88,155 lbs.,71,Orthodox,1987-01-21,1474.0
Charlie Campbell,182.88,155 lbs.,72,Orthodox,1995-07-03,1471.0
Kitt Campbell,185.42,170 lbs.,73,Orthodox,1994-06-26,
Kurtis Campbell,175.26,145 lbs.,72,Switch,2002-07-29,
John Campetella,175.26,235 lbs.,,Orthodox,,
Wagner Campos,167.64000000000001,145 lbs.,,Southpaw,1981-07-31,1612.0
Derek Campos,175.26,155 lbs.,,,1988-04-01,
Will Campuzano,175.26,125 lbs.,70,Orthodox,1986-05-27,1279.0
Aleksa Camur,185.42,205 lbs.,74,Orthodox,1995-09-25,1304.0
Chico Camus,167.64000000000001,125 lbs.,66,Orthodox,1985-01-26,1437.0
Asbel Cancio,177.8,225 lbs.,,,,
Carlos Candelario,172.72,125 lbs.,68,Southpaw,1991-06-04,1614.0
Ronaldo Candido,167.64000000000001,125 lbs.,,Southpaw,1989-04-24,
Luiz Cane,187.96,185 lbs.,77,Southpaw,1981-04-24,1392.0
Guido Cannetti,167.64000000000001,135 lbs.,68,Southpaw,1979-12-19,1821.0
Jared Cannonier,180.34,185 lbs.,77,Switch,1984-03-16,1607.0
Jose Canseco,193.04,240 lbs.,,Orthodox,1964-07-02,
Cody Canterbury,172.72,155 lbs.,,,,
Bo Cantrell,187.96,235 lbs.,,Orthodox,1969-02-08,
Steve Cantwell,187.96,185 lbs.,75,Orthodox,1986-12-08,1166.0
Paul Capaldo,170.18,135 lbs.,,,1996-12-27,
Phil Caracappa,172.72,135 lbs.,70,Orthodox,1992-06-05,
Frank Caracci,,--,,,,
Gina Carano,172.72,145 lbs.,,Orthodox,1982-04-16,
Dos Caras Jr.,193.04,225 lbs.,,Orthodox,1977-05-25,
Bryan Caraway,172.72,135 lbs.,68,Orthodox,1984-08-04,1491.0
Remo Cardarelli,,135 lbs.,,,,
Phil Cardella,180.34,155 lbs.,,,1976-07-09,
Edgar Cardenas,,145 lbs.,,,,
Chris Cariaso,160.02,125 lbs.,64,Southpaw,1981-05-27,1547.0
Ronald Carillo,,125 lbs.,,,,
Rafael Carino,203.2,245 lbs.,,Orthodox,,
Don Carlo-Clauss,,170 lbs.,,,,
Antonio Carlos Junior,187.96,185 lbs.,79,Orthodox,1990-03-16,1263.0
Spike Carlyle,172.72,145 lbs.,71,Switch,1993-05-06,1399.0
Francis Carmont,190.5,205 lbs.,78,Orthodox,1981-10-11,1567.0
Liz Carmouche,167.64000000000001,125 lbs.,66,Orthodox,1984-02-19,1513.0
Roan Carneiro,180.34,170 lbs.,76,Orthodox,1978-06-02,1514.0
Ariane Carnelossi,157.48000000000002,115 lbs.,61,Orthodox,1992-11-17,1483.0
Luana Carolina,167.64000000000001,135 lbs.,69,Orthodox,1993-06-11,1414.0
Tim Caron,185.42,185 lbs.,,Orthodox,1987-07-24,
Clayton Carpenter,167.64000000000001,125 lbs.,66,Orthodox,1996-06-09,1492.0
Gabriel Carrasco,167.64000000000001,135 lbs.,,,,
Cody Carrillo,177.8,155 lbs.,,,,
Cain Carrizosa,172.72,155 lbs.,,Orthodox,1986-07-22,1466.0
Roger Carroll,177.8,170 lbs.,,,,
Jonny Carson,177.8,155 lbs.,,,,
Scott Carson,187.96,215 lbs.,,,,
Shonie Carter,177.8,170 lbs.,,Southpaw,1972-05-03,1521.0
Jack Cartwright,175.26,135 lbs.,68,Orthodox,1994-05-26,
Bruno Carvalho,172.72,154 lbs.,,,1982-06-07,
Antonio Carvalho,175.26,145 lbs.,70,Orthodox,1979-05-30,1702.0
Rafael Carvalho,190.5,185 lbs.,,,1986-07-27,
Shane Carwin,187.96,265 lbs.,80,Orthodox,1975-01-04,1838.0
Johnny Case,177.8,155 lbs.,72,Orthodox,1989-06-28,1316.0
Kevin Casey,180.34,185 lbs.,77,Southpaw,1981-06-15,1660.0
Cortney Casey,170.18,125 lbs.,67,Orthodox,1987-05-05,1471.0
Brandon Cash,195.57999999999998,255 lbs.,,Orthodox,,
Bendy Casimir,165.1,145 lbs.,,Southpaw,1980-06-10,
Dwayne Cason,177.8,212 lbs.,,Orthodox,,
Joe Cason,190.5,205 lbs.,,,1988-01-19,
John Castaneda,167.64000000000001,135 lbs.,71,Switch,1991-12-18,1492.0
Eric Castile,172.72,145 lbs.,,,,
Gil Castillo,175.26,170 lbs.,,Southpaw,1965-10-21,1875.0
Danny Castillo,175.26,155 lbs.,71,Orthodox,1979-08-25,1644.0
Raul Castillo,180.34,185 lbs.,,Orthodox,,
Jenna Castillo,157.48000000000002,125 lbs.,,,1982-05-05,
Tim Catalfo,180.34,235 lbs.,,Orthodox,,
Nick Catone,182.88,185 lbs.,72,Southpaw,1981-09-01,1439.0
Luke Caudillo,170.18,155 lbs.,,Orthodox,1980-11-30,1384.0
Gesias Cavalcante,172.72,155 lbs.,71,Orthodox,1983-07-06,
Rafael Cavalcante,185.42,205 lbs.,74,Orthodox,1980-04-14,1729.0
Jacqueline Cavalcanti,172.72,135 lbs.,70,Orthodox,1997-08-29,1357.0
Igor Cavalcanti,180.34,170 lbs.,79,Orthodox,1997-10-10,
Magnus Cedenblad,195.57999999999998,185 lbs.,79,Orthodox,1982-04-10,1566.0
Yosdenis Cedeno,172.72,155 lbs.,69,Orthodox,1985-02-12,1514.0
Henry Cejudo,162.56,135 lbs.,64,Orthodox,1987-02-09,1465.0
Adam Cella,187.96,170 lbs.,,,1985-06-26,1449.0
Vinicius Cenci,185.42,155 lbs.,74,Orthodox,1995-11-24,
Katlyn Cerminara,175.26,125 lbs.,68,Orthodox,1988-12-28,1437.0
Rafael Cerqueira,190.5,205 lbs.,76,Southpaw,1990-03-15,1806.0
Donald Cerrone,185.42,155 lbs.,73,Orthodox,1983-03-29,1471.0
Jared Chaffee,177.8,155 lbs.,,,1984-12-15,
Luan Chagas,182.88,170 lbs.,75,Orthodox,1993-06-17,1195.0
Edgar Chairez,170.18,125 lbs.,71,Orthodox,1996-01-27,1432.0
Ansar Chalangov,175.26,170 lbs.,,Orthodox,1979-10-30,1359.0
Alex Chambers,160.02,115 lbs.,63,Southpaw,1978-10-25,1885.0
Michael Chandler,172.72,155 lbs.,71,Orthodox,1986-04-24,1813.0
Chelsea Chandler,172.72,135 lbs.,68,Southpaw,1990-11-23,1662.0
Eduardo Chapolin,170.18,125 lbs.,67,Orthodox,1995-11-23,
Donnie Chappell,180.34,178 lbs.,,Southpaw,,
Joe Charles,185.42,260 lbs.,,Southpaw,,
Dan Charles,187.96,228 lbs.,,,1985-09-24,
Morgan Charriere,172.72,145 lbs.,69,Orthodox,1995-10-26,1534.0
Jeisla Chaves,167.64000000000001,125 lbs.,68,Orthodox,1997-02-02,
Ernest Chavez,172.72,145 lbs.,70,Orthodox,1983-06-27,1613.0
Emilio Chavez,175.26,145 lbs.,,,,
Danny Chavez,172.72,145 lbs.,67,Orthodox,1987-03-14,1744.0
Gabriel Checco,185.42,185 lbs.,,Switch,1986-04-03,
Albert Cheng,180.34,170 lbs.,,Orthodox,1985-02-07,1516.0
Fabio Cherant,185.42,205 lbs.,74,Southpaw,1994-11-25,1374.0
Ion Cherdivara,,205 lbs.,,,,
Mark Cherico,170.18,145 lbs.,69,Orthodox,1986-05-12,
Macy Chiasson,180.34,135 lbs.,72,Orthodox,1991-07-27,1426.0
Michael Chiesa,185.42,170 lbs.,75,Southpaw,1987-12-07,1352.0
Giga Chikadze,182.88,145 lbs.,74,Orthodox,1988-08-25,1622.0
Khamzat Chimaev,187.96,185 lbs.,75,Orthodox,1994-05-01,1367.0
Sako Chivitchian,180.34,155 lbs.,,Orthodox,1984-03-11,1394.0
Mu Bae Choi,187.96,230 lbs.,,Orthodox,1970-06-27,
Hong Man Choi,218.44000000000003,330 lbs.,,Orthodox,1980-10-30,
Dooho Choi,177.8,145 lbs.,70,Orthodox,1991-04-10,1232.0
SeungWoo Choi,182.88,145 lbs.,74,Orthodox,1992-11-03,1380.0
SeungGuk Choi,167.64000000000001,125 lbs.,64,Orthodox,1996-12-26,1362.0
DongHun Choi,165.1,125 lbs.,66,Switch,1999-01-02,1351.0
Mark Choinski,172.72,155 lbs.,69,Orthodox,1995-10-22,1545.0
John Cholish,180.34,155 lbs.,74,Orthodox,1983-12-17,1460.0
Ryo Chonan,175.26,170 lbs.,70,Orthodox,1976-10-08,1623.0
Will Chope,193.04,145 lbs.,,Switch,1990-09-08,1217.0
Cody Chovancek,172.72,135 lbs.,67,Switch,1998-07-24,
Joachim Christensen,190.5,205 lbs.,76,Orthodox,1978-11-07,1977.0
Kevin Christian,200.66,205 lbs.,80,Orthodox,1995-01-21,
Dan Christison,203.2,265 lbs.,,Orthodox,1972-04-26,1784.0
Anthony Christodoulou,175.26,155 lbs.,,Orthodox,1987-07-30,1434.0
Murad Chunkaiev,180.34,185 lbs.,,Orthodox,,
Cameron Church,180.34,155 lbs.,72,Orthodox,1990-09-27,
Steven Ciaccio,182.88,170 lbs.,,,,
Mike Ciesnolevicz,182.88,235 lbs.,,Orthodox,1979-10-28,1546.0
Hannah Cifers,154.94,115 lbs.,62,Orthodox,1992-06-26,1376.0
Branko Cikatic,185.42,215 lbs.,,Orthodox,1954-10-03,
Nikolajus Cilkinas,,--,,Orthodox,,
Misha Cirkunov,190.5,205 lbs.,77,Orthodox,1987-02-27,1554.0
Johnny Cisneros,180.34,170 lbs.,,,1980-02-05,
Laverne Clark,180.34,170 lbs.,,Orthodox,1973-12-02,
Logan Clark,187.96,185 lbs.,,Orthodox,1985-02-16,1138.0
Mychal Clark,190.5,224 lbs.,,Orthodox,,
Dominic Clark,177.8,155 lbs.,,,1985-08-01,
Heather Clark,167.64000000000001,115 lbs.,64,Orthodox,1980-09-19,1786.0
Devin Clark,182.88,205 lbs.,75,Orthodox,1990-04-12,1390.0
Jessica-Rose Clark,165.1,135 lbs.,64,Orthodox,1987-11-28,1564.0
Shannon Clark,165.1,125 lbs.,64,Orthodox,1992-07-07,
John Clarke,,170 lbs.,,,1977-08-15,
Mitch Clarke,177.8,155 lbs.,73,Orthodox,1985-11-24,1486.0
Rich Clementi,175.26,155 lbs.,72,Southpaw,1976-03-31,1404.0
Chris Clements,177.8,170 lbs.,70,Orthodox,1976-02-09,1888.0
RJ Clifford,,160 lbs.,,,,
Mark Climaco,162.56,125 lbs.,65,Southpaw,1997-11-06,
Josh Clopton,167.64000000000001,145 lbs.,,Orthodox,1981-07-11,1586.0
Brian Cobb,180.34,155 lbs.,,Orthodox,,
Darryl Cobb,175.26,185 lbs.,,,1980-08-04,
Dave Cochran,167.64000000000001,155 lbs.,,,1973-05-10,
Dakota Cochrane,172.72,155 lbs.,,,1986-05-01,
Marloes Coenen,175.26,145 lbs.,67,,1981-03-31,
Marc Cofer,,185 lbs.,,,1972-03-03,
John Cofer,175.26,155 lbs.,,Southpaw,1984-04-29,1465.0
Chris Coggins,,--,,,,
Felipe Colares,172.72,145 lbs.,69,Orthodox,1994-03-31,1296.0
Wayne Cole,185.42,205 lbs.,,Orthodox,,
Devin Cole,193.04,240 lbs.,,Orthodox,1976-10-01,
Coltin Cole,,185 lbs.,,,1989-04-24,
Ivan Cole,175.26,135 lbs.,,,1990-11-30,
Chandler Cole,177.8,264 lbs.,72,Orthodox,1995-01-09,
Mark Coleman,185.42,205 lbs.,75,Orthodox,1964-12-20,2299.0
Cortez Coleman,185.42,185 lbs.,,,1982-01-28,
Clay Collard,180.34,145 lbs.,73,Orthodox,1993-03-10,1119.0
Jamie Colleen,160.02,115 lbs.,65,Orthodox,1985-11-02,
Jake Collier,190.5,230 lbs.,78,Orthodox,1988-10-25,1364.0
Christian Colombo,195.57999999999998,265 lbs.,,Orthodox,1980-07-01,1887.0
Willian Colorado,177.8,135 lbs.,72,,1986-06-21,
Wes Combs,187.96,205 lbs.,,Orthodox,1973-06-18,1722.0
Rose Conceicao,139.7,115 lbs.,65,Orthodox,1997-05-13,
Roque Conceicao,,125 lbs.,,Orthodox,1999-10-27,
Carlos Condit,187.96,170 lbs.,75,Orthodox,1984-04-26,1300.0
Chris Condo,182.88,335 lbs.,,Orthodox,,
Jack Congdon,187.96,170 lbs.,75,Switch,1997-05-21,
Tristan Connelly,177.8,145 lbs.,68,Orthodox,1985-12-12,1761.0
Marcos Conrado Jr.,187.96,220 lbs.,,Orthodox,1982-03-14,
Jeremiah Constant,185.42,240 lbs.,,Orthodox,1974-07-19,
Jonathan Contrestano,,155 lbs.,,,,
Bob Cook,175.26,170 lbs.,,Orthodox,,
Mike Cook,185.42,205 lbs.,,Orthodox,,
Chad Cook,187.96,205 lbs.,,,1979-11-07,
TJ Cook,,205 lbs.,,,1982-09-08,
Dewey Cooper,,205 lbs.,,,,
Brett Cooper,182.88,170 lbs.,,Orthodox,1987-07-02,
Bill Cooper,,155 lbs.,,,1984-05-05,
Bobby Cooper,185.42,155 lbs.,,,,
Amanda Cooper,160.02,115 lbs.,64,Switch,1991-10-22,1289.0
Kit Cope,182.88,170 lbs.,,Orthodox,1977-03-17,1494.0
Chris Cope,182.88,170 lbs.,72,Orthodox,1983-03-05,1474.0
Josh Copeland,185.42,265 lbs.,,Orthodox,1982-10-20,1674.0
Michael Cora,185.42,170 lbs.,77,Southpaw,1989-08-24,
Akira Corassani,172.72,145 lbs.,68,Orthodox,1982-08-27,1570.0
Muhsin Corbbrey,177.8,155 lbs.,,Orthodox,1978-05-18,
Alden Coria,172.72,125 lbs.,67,Orthodox,1998-04-24,1429.0
Daniel Cormier,180.34,235 lbs.,72,Orthodox,1979-03-20,1778.0
Nora Cornolle,170.18,135 lbs.,67,Orthodox,1989-12-06,1791.0
Clint Coronel,,155 lbs.,,,,
Henry Corrales,175.26,145 lbs.,,,,
Bethe Correia,165.1,135 lbs.,64,Orthodox,1983-06-22,1589.0
Wesley Correira,190.5,260 lbs.,,Orthodox,1978-11-11,1245.0
Waldo Cortes-Acosta,193.04,260 lbs.,78,Orthodox,1991-10-03,1624.0
Tracy Cortez,165.1,125 lbs.,65,Orthodox,1993-12-10,1353.0
Reyes Cortez Jr.,170.18,135 lbs.,68,Orthodox,1992-07-31,
Chad Corvin,195.57999999999998,255 lbs.,,,,
Louis Cosce,175.26,170 lbs.,71,Orthodox,1995-08-27,1411.0
Orion Cosce,180.34,170 lbs.,71,Switch,1994-07-15,1411.0
Miguel Cosio,193.04,205 lbs.,,,,
Jadson Costa,170.18,155 lbs.,,Orthodox,,
Guilherme Costa,,155 lbs.,,,,
Paulo Costa,185.42,185 lbs.,72,Orthodox,1991-04-21,1350.0
Randy Costa,175.26,135 lbs.,73,Switch,1994-07-06,1292.0
Alessandro Costa,162.56,125 lbs.,67,Orthodox,1996-01-28,1402.0
Melquizael Costa,177.8,145 lbs.,71,Southpaw,1996-09-14,1375.0
Vitor Costa,187.96,185 lbs.,75,Orthodox,2000-09-19,
Oscar Cota,182.88,230 lbs.,72,Orthodox,1984-10-15,
Patrick Cote,180.34,170 lbs.,75,Orthodox,1980-02-29,1286.0
JC Cottrell,175.26,155 lbs.,,Orthodox,1989-11-04,1394.0
JR Coughran,167.64000000000001,145 lbs.,,Orthodox,1994-05-17,
Rashad Coulter,180.34,205 lbs.,76,Orthodox,1981-11-27,1850.0
Dave Courchaine,172.72,170 lbs.,,,,
Randy Couture,185.42,205 lbs.,75,Orthodox,1963-06-22,2021.0
